./data/NewData VOL2/N_-90l.txt
-10 272
-9 212
-8 154
-7 128
-6 130
-5 159
-4 178
-3 221
-2 206
-1 138
0 183
1 130
2 137
3 120
4 168
5 222
6 233
7 192
8 162
9 192
10 169
result: -10 272

./data/NewData VOL2/N_-60l.txt
-10 514
-9 372
-8 306
-7 313
-6 280
-5 315
-4 299
-3 333
-2 330
-1 273
0 333
1 276
2 317
3 269
4 286
5 345
6 340
7 338
8 308
9 372
10 417
result: -10 514

./data/NewData VOL2/N_-30l.txt
-10 798
-9 609
-8 507
-7 503
-6 469
-5 538
-4 494
-3 524
-2 502
-1 442
0 523
1 458
2 491
3 440
4 489
5 554
6 512
7 507
8 473
9 604
10 693
result: -10 798

./data/NewData VOL2/N_0l.txt
-10 890
-9 687
-8 640
-7 710
-6 724
-5 744
-4 615
-3 585
-2 553
-1 486
0 599
1 587
2 660
3 679
4 711
5 678
6 572
7 565
8 531
9 685
10 870
result: -10 890

./data/NewData VOL2/N_30l.txt
-10 1146
-9 805
-8 708
-7 809
-6 842
-5 888
-4 730
-3 691
-2 706
-1 628
0 693
1 653
2 742
3 770
4 841
5 801
6 695
7 745
8 704
9 827
10 994
result: -10 1146

./data/NewData VOL2/N_60l.txt
-10 1256
-9 908
-8 836
-7 925
-6 921
-5 953
-4 801
-3 752
-2 792
-1 700
0 772
1 787
2 854
3 843
4 919
5 858
6 746
7 815
8 787
9 911
10 1146
result: -10 1256

./data/NewData VOL2/N_90l.txt
-10 1405
-9 1008
-8 949
-7 1123
-6 1175
-5 1192
-4 980
-3 865
-2 901
-1 804
0 859
1 915
2 1048
3 1097
4 1127
5 1002
6 869
7 931
8 897
9 997
10 1312
result: -10 1405

[Finished in 6.1s]
